transaction_id,product_name,category,price,quantity,total_value,city,status,date,customer_id
TRX0000001,Kaos Polos Premium,Fashion,138348,2,276696,Bandung,returned,2024-04-24,CUST006718
TRX0000002,Celana Chino,Fashion,288090,1,288090,Medan,completed,2024-02-17,CUST033119
TRX0000003,"Smart TV 43""",Electronics,3729570,5,18647850,Medan,completed,2024-08-02,CUST038619
TRX0000004,Matras Yoga 6mm,Sports,188587,2,377174,Depok,completed,2024-12-23,CUST018211
TRX0000005,Madu Asli 500ml,Food & Beverage,136459,3,409377,Surabaya,completed,2024-02-22,CUST006339
TRX0000006,Buku Pemrograman Py,Books,149512,1,149512,Palembang,completed,2024-08-23,CUST024808
TRX0000007,Celana Chino,Fashion,276696,5,1383480,Makassar,completed,2024-07-04,CUST046175
TRX0000008,Kaos Polos Premium,Fashion,135240,3,405720,Medan,cancelled,2024-02-10,CUST006620
TRX0000009,Lip Cream Matte,Beauty,76909,3,230727,Tangerang,completed,2024-03-24,CUST013731
TRX0000010,Matras Yoga 6mm,Sports,180729,2,361458,Medan,completed,2024-09-30,CUST030295
TRX0000011,Lip Cream Matte,Beauty,89454,5,447270,Tangerang,cancelled,2024-04-22,CUST003666
TRX0000012,Tanaman Monstera,Home & Garden,158269,4,633076,Surabaya,completed,2024-05-17,CUST037171
TRX0000013,Rich Dad Poor Dad,Books,102569,4,410276,Semarang,completed,2024-11-25,CUST017360
TRX0000014,Madu Asli 500ml,Food & Beverage,128819,5,644095,Makassar,completed,2024-05-14,CUST038243
TRX0000015,Lip Cream Matte,Beauty,71432,2,142864,Semarang,completed,2024-09-17,CUST049531
TRX0000016,Smartphone X12,Electronics,3135483,2,6270966,Depok,completed,2024-12-14,CUST004164
TRX0000017,Moisturizer Aloe,Beauty,169746,4,678984,Bekasi,completed,2024-09-27,CUST000753
TRX0000018,Celana Chino,Fashion,317202,3,951606,Bekasi,completed,2024-02-27,CUST010366
TRX0000019,Lego City Set,Toys,511265,3,1533795,Bandung,completed,2024-09-13,CUST006974
TRX0000020,Jump Rope Speed,Sports,87778,2,175556,Bandung,completed,2024-07-10,CUST034758
TRX0000021,"Smart TV 43""",Electronics,3883711,1,3883711,Tangerang,cancelled,2024-02-27,CUST020154
TRX0000022,Tanaman Monstera,Home & Garden,133727,5,668635,Surabaya,returned,2024-02-10,CUST031850
TRX0000023,Celana Chino,Fashion,318526,2,637052,Semarang,completed,2024-12-03,CUST010822
TRX0000024,Jump Rope Speed,Sports,94497,4,377988,Palembang,cancelled,2024-04-18,CUST047837
TRX0000025,Lampu LED Strip,Home & Garden,92121,3,276363,Palembang,completed,2024-08-12,CUST007931
TRX0000026,Pot Keramik Set,Home & Garden,191225,1,191225,Palembang,completed,2024-10-28,CUST038565
TRX0000027,Tanaman Monstera,Home & Garden,126338,1,126338,Surabaya,completed,2024-04-27,CUST021655
TRX0000028,Celana Chino,Fashion,271813,4,1087252,Palembang,completed,2024-04-19,CUST047406
TRX0000029,Puzzle 1000 pcs,Toys,135673,4,542692,Surabaya,completed,2024-04-07,CUST043188
TRX0000030,Lip Cream Matte,Beauty,76211,4,304844,Surabaya,completed,2024-01-28,CUST026387
TRX0000031,Atomic Habits ID,Books,109102,2,218204,Semarang,completed,2024-10-01,CUST027649
TRX0000032,Protein Bar Box,Food & Beverage,192813,1,192813,Palembang,completed,2024-08-14,CUST003316
TRX0000033,Smartphone X12,Electronics,3947685,2,7895370,Depok,completed,2024-03-26,CUST031547
TRX0000034,Talenan Kayu,Home & Garden,76209,2,152418,Jakarta,completed,2024-07-13,CUST017381
TRX0000035,RC Car Offroad,Toys,371222,5,1856110,Semarang,completed,2024-12-04,CUST012446
TRX0000036,Dumbbell 5kg Pair,Sports,364996,5,1824980,Jakarta,returned,2024-10-04,CUST020553
TRX0000037,Smartphone X12,Electronics,3588386,5,17941930,Bandung,completed,2024-09-28,CUST033282
TRX0000038,Sneakers Canvas,Fashion,330811,1,330811,Medan,completed,2024-12-11,CUST007857
TRX0000039,Air Purifier Mini,Home & Garden,699281,5,3496405,Depok,returned,2024-02-11,CUST038252
TRX0000040,Buku Pemrograman Py,Books,132135,3,396405,Bekasi,completed,2024-05-02,CUST008578
TRX0000041,Tas Gym Waterproof,Sports,231489,1,231489,Semarang,completed,2024-01-05,CUST036897
TRX0000042,Kaos Polos Premium,Fashion,130456,5,652280,Bandung,completed,2024-05-15,CUST004509
TRX0000043,Lampu LED Strip,Home & Garden,88872,4,355488,Bekasi,completed,2024-10-05,CUST042859
TRX0000044,"Smart TV 43""",Electronics,3853235,1,3853235,Bekasi,completed,2024-03-09,CUST007015
TRX0000045,Protein Bar Box,Food & Beverage,182232,2,364464,Medan,returned,2024-06-24,CUST041566
TRX0000046,Jump Rope Speed,Sports,84707,1,84707,Depok,cancelled,2024-02-17,CUST018133
TRX0000047,Smartphone X12,Electronics,3325234,2,6650468,Bekasi,completed,2024-11-22,CUST048578
TRX0000048,Playdough Set,Toys,100861,5,504305,Surabaya,completed,2024-01-05,CUST045287
TRX0000049,Green Tea Premium,Food & Beverage,47344,3,142032,Palembang,completed,2024-10-25,CUST028167
TRX0000050,Kopi Arabica 250g,Food & Beverage,80110,1,80110,Medan,returned,2024-07-02,CUST016354
TRX0000051,Tas Ransel Kulit,Fashion,596219,4,2384876,Bandung,completed,2024-11-13,CUST010650
TRX0000052,Granola Homemade,Food & Beverage,64307,3,192921,Medan,completed,2024-07-29,CUST010434
TRX0000053,Kemeja Flannel,Fashion,233446,4,933784,Medan,cancelled,2024-04-23,CUST030167
TRX0000054,Buku Pemrograman Py,Books,158943,2,317886,Jakarta,returned,2024-04-24,CUST012657
TRX0000055,Lip Cream Matte,Beauty,72819,1,72819,Tangerang,returned,2024-05-22,CUST033385
TRX0000056,Masker Wajah Sheet,Beauty,42720,1,42720,Bekasi,completed,2024-02-29,CUST038050
TRX0000057,Matras Yoga 6mm,Sports,154441,4,617764,Tangerang,completed,2024-06-25,CUST039729
TRX0000058,Kemeja Flannel,Fashion,235168,2,470336,Jakarta,returned,2024-05-10,CUST028578
TRX0000059,"Smart TV 43""",Electronics,4623457,5,23117285,Medan,completed,2024-12-17,CUST028266
TRX0000060,Tas Ransel Kulit,Fashion,570320,1,570320,Palembang,completed,2024-06-02,CUST043706
TRX0000061,Lip Cream Matte,Beauty,75716,3,227148,Bandung,completed,2024-10-10,CUST027555
TRX0000062,Serum Vitamin C,Beauty,243143,3,729429,Palembang,cancelled,2024-07-26,CUST000027
TRX0000063,Sepatu Lari Pro,Sports,776096,5,3880480,Tangerang,completed,2024-11-06,CUST028953
TRX0000064,Puzzle 1000 pcs,Toys,125419,2,250838,Surabaya,completed,2024-12-03,CUST033781
TRX0000065,Atomic Habits ID,Books,129272,2,258544,Bekasi,completed,2024-12-10,CUST013051
TRX0000066,Kopi Arabica 250g,Food & Beverage,73428,4,293712,Surabaya,completed,2024-11-08,CUST027161
TRX0000067,Talenan Kayu,Home & Garden,67885,2,135770,Jakarta,cancelled,2024-03-16,CUST006986
TRX0000068,Serum Vitamin C,Beauty,212150,5,1060750,Jakarta,completed,2024-08-25,CUST016332
