TransactionID,CustomerID,ProductCategory,SalesPrice,Quantity,TransactionDate,Region,DISC04
TX3197,C106,BOOKS,22.19,1,2024-01-01,EAST,DISC04
TR6692,C1086,FOOD,9.47,1,2024-01-01,CENTRAL,DISC04
TRX611,C248,FOOD,14.15,1,2024-01-01,EAST,DISC04
TRX150,C376,TOYS,45.12,1,2024-01-01,WEST,DISC04
TRX469,C863,TOYS,48.49,1,2024-01-01,CENTRAL,DISC04
TX3328,C913,CLOTHING,58.74,1,2024-01-01,EAST,DISC04
TR0771,C1057,FOOD,15.39,2,2024-01-01,EAST,DISC04
TR2194,C138,TOYS,28.52,2,2024-01-01,WEST,DISC04
TR8151,C153,FOOD,12.4,2,2024-01-01,EAST,DISC04
TRX108,C294,TOYS,29.87,2,2024-01-01,CENTRAL,DISC04
TRX503,C310,TOYS,38.37,2,2024-01-01,EAST,DISC04
TX4071,C509,CLOTHING,62.22,2,2024-01-01,EAST,DISC04
TRX329,C582,TOYS,26.0,2,2024-01-01,CENTRAL,DISC04
TX2239,C590,CLOTHING,51.42,2,2024-01-01,CENTRAL,DISC04
TRX678,C924,TOYS,35.16,2,2024-01-01,EAST,DISC04
TX4722,C256,BOOKS,20.25,3,2024-01-01,EAST,DISC04
TR2663,C422,TOYS,36.79,3,2024-01-01,EAST,DISC04
TRX086,C535,FOOD,9.9,3,2024-01-01,EAST,DISC04
TX6525,C620,BOOKS,33.89,3,2024-01-01,EAST,DISC04
TRX139,C892,FOOD,11.15,3,2024-01-01,CENTRAL,DISC04
TRX447,C927,TOYS,26.0,3,2024-01-01,CENTRAL,DISC04
TX6533,C110,CLOTHING,46.25,4,2024-01-01,WEST,DISC04
TR0359,C285,FOOD,16.2,4,2024-01-01,EAST,DISC04
TR5411,C287,TOYS,26.0,4,2024-01-01,WEST,DISC04
TR1413,C310,CLOTHING,52.78,4,2024-01-01,WEST,DISC04
TR2806,C619,FOOD,10.5,4,2024-01-01,WEST,DISC04
TRX547,C685,TOYS,45.23,4,2024-01-01,CENTRAL,DISC04
TX1049,C769,CLOTHING,58.57,4,2024-01-01,EAST,DISC04
TX2464,C136,CLOTHING,53.04,5,2024-01-01,WEST,DISC04
TR8442,C195,CLOTHING,44.2,5,2024-01-01,EAST,DISC04
TRX246,C210,TOYS,39.92,5,2024-01-01,WEST,DISC04
TRX795,C558,TOYS,36.95,5,2024-01-01,WEST,DISC04
TRX117,C115,FOOD,13.7,6,2024-01-01,CENTRAL,DISC04
TR4032,C442,CLOTHING,40.0,6,2024-01-01,WEST,DISC04
TR2108,C544,FOOD,12.39,6,2024-01-01,EAST,DISC04
TRX414,C897,FOOD,14.48,6,2024-01-01,EAST,DISC04
TRX255,C925,FOOD,13.51,6,2024-01-01,CENTRAL,DISC04
TX3787,C1058,BOOKS,14.55,7,2024-01-01,CENTRAL,DISC04
TR8393,C177,FOOD,14.86,9,2024-01-01,EAST,DISC04
TR2210,C342,FOOD,13.12,9,2024-01-01,CENTRAL,DISC04
TRX134,C598,FOOD,14.6,9,2024-01-01,EAST,DISC04
TR3920,C714,TOYS,34.01,9,2024-01-01,CENTRAL,DISC04
TR7138,C754,TOYS,30.78,9,2024-01-01,WEST,DISC04
TX2688,C999,CLOTHING,77.58,9,2024-01-01,WEST,DISC04
TRX817,C210,TOYS,46.83,10,2024-01-01,CENTRAL,DISC04
TRX095,C258,FOOD,17.0,10,2024-01-01,EAST,DISC04
TR2564,C264,CLOTHING,51.3,10,2024-01-01,EAST,DISC04
TRX381,C430,FOOD,11.26,10,2024-01-01,CENTRAL,DISC04
TX5976,C458,CLOTHING,47.08,10,2024-01-01,EAST,DISC04
TRX308,C469,TOYS,34.05,10,2024-01-01,EAST,DISC04
TRX485,C623,FOOD,16.71,10,2024-01-01,EAST,DISC04
TRX588,C679,FOOD,13.03,10,2024-01-01,CENTRAL,DISC04
TRX643,C874,FOOD,9.78,10,2024-01-01,EAST,DISC04
TX2660,C1036,CLOTHING,59.6,1,2024-01-02,CENTRAL,DISC04
TX4827,C177,BOOKS,22.54,1,2024-01-02,CENTRAL,DISC04
TR8437,C803,FOOD,10.53,1,2024-01-02,EAST,DISC04
TX6835,C1064,BOOKS,38.87,2,2024-01-02,EAST,DISC04
TR0269,C265,TOYS,44.26,2,2024-01-02,EAST,DISC04
TRX228,C305,FOOD,9.0,2,2024-01-02,CENTRAL,DISC04
TRX390,C314,TOYS,36.58,2,2024-01-02,EAST,DISC04
TR5075,C349,FOOD,14.07,2,2024-01-02,CENTRAL,DISC04
TRX548,C611,TOYS,26.0,2,2024-01-02,WEST,DISC04
TR1654,C892,FOOD,9.0,2,2024-01-02,CENTRAL,DISC04
