TransactionID,CustomerID,ProductCategory,SalesPrice,Quantity,TransactionDate,Region,DiscountCode
TE0001,C630,FOOD,14.63,9,2024-12-27,CENTRAL,DISC02
TE0002,C176,HOME,130.0,9,2024-12-29,CENTRAL,Disc01
TE0003,C805,HOME,92.47,10,2024-12-25,EAST,Disc01
TE0004,C918,Electronics,119.3,8,2024-12-22,West,DISC02
TE0005,C1062,Electronics,228.37,1,2024-12-26,EAST,DISC04
TE0006,C492,Toys,26.0,9,2024-12-29,EAST,DISC02
TE0007,C981,Electronics,261.27,10,2024-12-22,EAST,DISC04
TE0008,C362,BOOKS,32.29,5,2024-12-24,CENTRAL,DISC02
TE0009,C1037,Toys,37.55,1,2024-12-31,EAST,
TE0010,C794,BOOKS,10.0,7,2024-12-21,EAST,DISC02
TE0011,C391,CLOTHING,70.05,10,2024-12-21,EAST,Disc01
TE0012,C181,Electronics,159.77,8,2024-12-26,West,
TE0013,C533,Toys,30.45,3,2024-12-26,West,DISC04
TE0014,C231,FOOD,10.68,3,2024-12-29,CENTRAL,Disc01
TE0015,C744,Toys,39.11,5,2024-12-23,West,DISC04
TE0016,C310,CLOTHING,59.8,2,2024-12-22,CENTRAL,Disc01
TE0017,C771,BOOKS,13.4,2,2024-12-26,West,DISC04
TE0018,C1027,Electronics,186.33,1,2024-12-28,EAST,DISC04
TE0019,C674,CLOTHING,55.85,1,2024-12-29,CENTRAL,DISC02
TE0020,C533,Toys,32.91,3,2024-12-27,CENTRAL,DISC04
TE0021,C946,FOOD,14.1,4,2024-12-28,EAST,DISC04
TE0022,C825,HOME,101.28,2,2024-12-27,West,Disc01
TE0023,C467,CLOTHING,60.76,5,2024-12-26,EAST,Disc01
TE0024,C816,Toys,35.31,2,2024-12-30,CENTRAL,
TE0025,C384,CLOTHING,55.45,8,2024-12-30,West,Disc01
TE0026,C908,Toys,26.0,8,2024-12-21,CENTRAL,DISC02
TE0027,C788,BOOKS,36.68,9,2024-12-30,CENTRAL,DISC04
TE0028,C268,HOME,127.91,1,2024-12-29,EAST,DISC04
TE0029,C501,HOME,84.35,1,2024-12-25,EAST,
TE0030,C166,BOOKS,40.5,9,2024-12-27,CENTRAL,Disc01
TE0031,C208,FOOD,14.17,4,2024-12-29,CENTRAL,Disc01
TE0032,C790,Electronics,291.61,8,2024-12-29,West,DISC02
TE0033,C995,BOOKS,51.77,3,2024-12-22,West,DISC04
TE0034,C187,Electronics,218.31,7,2024-12-25,EAST,Disc01
TE0035,C154,BOOKS,50.54,6,2024-12-29,EAST,
TE0036,C1041,FOOD,16.62,9,2024-12-21,West,Disc01
TE0037,C867,FOOD,17.0,1,2024-12-26,CENTRAL,DISC04
TE0038,C605,Electronics,265.54,7,2024-12-27,CENTRAL,DISC02
TE0039,C600,HOME,84.88,5,2024-12-26,CENTRAL,DISC02
TE0040,C531,Toys,37.5,10,2024-12-26,CENTRAL,Disc01
TE0041,C489,Electronics,149.69,1,2024-12-30,CENTRAL,DISC04
